ID	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity	CancerType
TCGA-IQ-A61O-01A	1447.235447	1080.010037	2527.245484	0.560375253	HNSC
TCGA-CV-A6JD-01A	-39.88769579	1701.986736	1662.09904	0.660761073	HNSC
TCGA-T2-A6WX-01A	-545.6647194	2090.406651	1544.741931	0.673592661	HNSC
TCGA-P3-A6T3-01A	-901.9553774	-101.3990726	-1003.35445	0.897068376	HNSC
TCGA-UF-A7JH-01A	535.2417596	1161.983429	1697.225189	0.656882148	HNSC
TCGA-P3-A5QA-01A	-179.7992591	65.63999928	-114.1592599	0.831924166	HNSC
TCGA-CV-A45Y-01A	634.4226505	1756.286859	2390.70951	0.576861078	HNSC
TCGA-QK-A8ZA-01A	-1520.606885	-357.2974872	-1877.904372	0.946258391	HNSC
TCGA-CQ-6220-01A	-701.5826161	689.5838372	-11.99877892	0.823509832	HNSC
TCGA-UF-A71A-01A	-25.65852463	-100.4171471	-126.0756717	0.8328935	HNSC
TCGA-CR-6472-01A	-512.5335562	112.7643181	-399.7692381	0.854449656	HNSC
TCGA-WA-A7GZ-01A	-717.9777726	-101.4364646	-819.4142372	0.884811651	HNSC
TCGA-CV-6942-01A	791.4170739	2107.65751	2899.074584	0.514357782	HNSC
TCGA-CN-6024-01A	-401.7929379	-576.4364917	-978.2294296	0.895432555	HNSC
TCGA-CN-6011-01A	-598.0089254	706.5241821	108.5152567	0.813345897	HNSC
TCGA-CR-6480-01A	-1356.407137	624.6290431	-731.7780942	0.878744656	HNSC
TCGA-BB-4217-01A	-334.5830077	2198.360427	1863.777419	0.638254106	HNSC
TCGA-CQ-5324-01A	-187.1112921	781.7170378	594.6057457	0.769800093	HNSC
TCGA-CQ-5329-01A	426.9338737	1332.622594	1759.556467	0.649956082	HNSC
TCGA-CQ-A4CA-01A	367.9203463	1687.739164	2055.65951	0.616320855	HNSC
TCGA-CV-7430-01A	-1345.177318	-239.3484459	-1584.525764	0.931457803	HNSC
TCGA-D6-A74Q-01A	-631.3768619	790.8083938	159.4315318	0.808975042	HNSC
TCGA-CV-7255-01A	-1256.181494	-285.8143814	-1541.995876	0.929168194	HNSC
TCGA-CQ-6223-01A	-816.5447749	855.2392983	38.69452345	0.81926567	HNSC
TCGA-BA-6871-01A	754.6287968	1121.83682	1876.465617	0.636819215	HNSC
TCGA-CV-A6JO-01B	-492.686678	1421.492492	928.8058142	0.737574397	HNSC
TCGA-CR-7404-01A	-241.170074	1626.588643	1385.418569	0.69069215	HNSC
TCGA-UF-A719-01A	-1272.259608	218.5540964	-1053.705512	0.900309845	HNSC
TCGA-CQ-6227-01A	546.4088499	652.6862037	1199.095054	0.710209589	HNSC
TCGA-CV-6951-01A	-860.4012899	-243.3430085	-1103.744298	0.903482488	HNSC
TCGA-CN-4728-01A	1677.81703	1971.561833	3649.378863	0.416982276	HNSC
TCGA-CV-7090-01A	596.8577025	1586.344669	2183.202372	0.601470371	HNSC
TCGA-DQ-5625-01A	19.52797947	1819.273159	1838.801139	0.641072167	HNSC
TCGA-UF-A7JS-01A	-296.6198266	1590.046121	1293.426294	0.700393852	HNSC
TCGA-CN-4733-01A	1224.405577	2722.987674	3947.393251	0.376835524	HNSC
TCGA-CR-7390-01A	-210.0478243	69.16714343	-140.8806809	0.834094255	HNSC
TCGA-CV-A45X-01A	-1155.327292	266.6455495	-888.6817424	0.889503446	HNSC
TCGA-IQ-A6SH-01A	-388.050118	1192.351758	804.3016403	0.74979154	HNSC
TCGA-CQ-7068-01A	-591.3712876	1849.265985	1257.894698	0.704106996	HNSC
TCGA-CV-A464-01A	544.9466307	843.908221	1388.854852	0.690327302	HNSC
TCGA-C9-A47Z-01A	-1030.507024	211.7780567	-818.7289674	0.884764777	HNSC
TCGA-CN-6010-01A	-391.8800497	383.6433683	-8.236681425	0.823196424	HNSC
TCGA-CV-7235-01A	834.1356969	1434.458929	2268.594626	0.591409559	HNSC
TCGA-CX-7086-01A	-1176.168266	262.9889452	-913.1793205	0.891140788	HNSC
TCGA-CV-7422-01A	-85.16134336	691.1543386	605.9929953	0.768732115	HNSC
TCGA-HD-A6HZ-01A	286.1367548	1604.195873	1890.332628	0.635248487	HNSC
